giftId,nodeGiftListDefault,nodeGiftListJaJp,nodeGiftListRoomScoped,nodeEvent,pythonGiftListDefault,pythonGiftListJaJp,pythonEvent,csharpEvent,directApiDefault,directApiJaJp,diamondCount,isJapanese,diff,giftListVsEventDiff,inRegularCatalog,seenOnlyViaLiveOrRoomScoped
101862,Skyforge Citadel,スカイフォージ要塞,Skyforge Citadel,,Skyforge Citadel,スカイフォージ要塞,,,Skyforge Citadel,スカイフォージ要塞,25999,true,false,false,true,false
101868,Valerian's Oath,ヴァレリアンの誓い,Valerian's Oath,,Valerian's Oath,ヴァレリアンの誓い,,,Valerian's Oath,ヴァレリアンの誓い,43999,true,false,false,true,false
105610,Goal Highlight-US,ゴールハイライト：アメリカ,Goal Highlight-US,,Goal Highlight-US,ゴールハイライト：アメリカ,,,Goal Highlight-US,ゴールハイライト：アメリカ,6000,true,false,false,true,false
105781,Spinning Soccer,サッカー,Spinning Soccer,,Spinning Soccer,サッカー,,,Spinning Soccer,サッカー,5,true,false,false,true,false
105795,Freestyle,ヘッドストール,Freestyle,,Freestyle,ヘッドストール,,,Freestyle,ヘッドストール,1800,true,false,false,true,false
105810,Guardian's Pledge,ガーディアンの誓い,Guardian's Pledge,,Guardian's Pledge,ガーディアンの誓い,,,Guardian's Pledge,ガーディアンの誓い,4999,true,false,false,true,false
105814,Goal Highlight,膝スラ,Goal Highlight,,Goal Highlight,膝スラ,,,Goal Highlight,膝スラ,6000,true,false,false,true,false
105817,Stadium,熱狂スタジアム,Stadium,,Stadium,熱狂スタジアム,,,Stadium,熱狂スタジアム,15999,true,false,false,true,false
110506,Rock Cats,ロックキャッツ,Rock Cats,,Rock Cats,ロックキャッツ,,,Rock Cats,ロックキャッツ,400,true,false,false,true,false
110508,Retro Melody,レトロメロディ,Retro Melody,,Retro Melody,レトロメロディ,,,Retro Melody,レトロメロディ,349,true,false,false,true,false
115510,umbrella,おさんぽ傘,umbrella,,umbrella,おさんぽ傘,,,umbrella,おさんぽ傘,1,true,false,false,true,false
115513,Rain Doll,お天気占い,Rain Doll,,Rain Doll,お天気占い,,,Rain Doll,お天気占い,299,true,false,false,true,false
115516,Hydrangea Sea,あじさいの海,Hydrangea Sea,,Hydrangea Sea,あじさいの海,,,Hydrangea Sea,あじさいの海,1299,true,false,false,true,false
115518,Dream Ride,君と見る空,Dream Ride,,Dream Ride,君と見る空,,,Dream Ride,君と見る空,15000,true,false,false,true,false
115520,Stage of ring,雨ふりステージ,Stage of ring,,Stage of ring,雨ふりステージ,,,Stage of ring,雨ふりステージ,4999,true,false,false,true,false
115543,LIVE Ranking Ticket,LIVE Ranking Ticket,LIVE Ranking Ticket,,LIVE Ranking Ticket,LIVE Ranking Ticket,,,LIVE Ranking Ticket,LIVE Ranking Ticket,10,false,false,false,true,false
115548,LIVE Ranking Party,LIVE Ranking Party,LIVE Ranking Party,,LIVE Ranking Party,LIVE Ranking Party,,,LIVE Ranking Party,LIVE Ranking Party,3999,false,false,false,true,false
115549,Red Devil Corgi,Red Devil Corgi,Red Devil Corgi,,Red Devil Corgi,Red Devil Corgi,,,Red Devil Corgi,Red Devil Corgi,20000,false,false,false,true,false
118812,Divine Fingers,神の指,Divine Fingers,,Divine Fingers,神の指,,,Divine Fingers,神の指,6,true,false,false,true,false
118814,Poetry Score,詩の楽譜,Poetry Score,,Poetry Score,詩の楽譜,,,Poetry Score,詩の楽譜,249,true,false,false,true,false
118817,Epic Pianist,最高のピアニスト,Epic Pianist,,Epic Pianist,最高のピアニスト,,,Epic Pianist,最高のピアニスト,800,true,false,false,true,false
118926,Ukulele Player,ウクレレ演奏者,Ukulele Player,,Ukulele Player,ウクレレ演奏者,,,Ukulele Player,ウクレレ演奏者,349,true,false,false,true,false
118928,Lost in Your Music,あなたの音楽に夢中,Lost in Your Music,,Lost in Your Music,あなたの音楽に夢中,,,Lost in Your Music,あなたの音楽に夢中,500,true,false,false,true,false
118939,Electronic Love Song,エレクトロニックのラブソング,Electronic Love Song,,Electronic Love Song,エレクトロニックのラブソング,,,Electronic Love Song,エレクトロニックのラブソング,449,true,false,false,true,false
121582,Chopin in the Rain,雨の中のショパン,Chopin in the Rain,,Chopin in the Rain,雨の中のショパン,,,Chopin in the Rain,雨の中のショパン,349,true,false,false,true,false
121583,Cello Romance,チェロロマンス,Cello Romance,,Cello Romance,チェロロマンス,,,Cello Romance,チェロロマンス,299,true,false,false,true,false
130787,Come On!,頑張れ！,Come On!,,Come On!,頑張れ！,,,Come On!,頑張れ！,299,true,false,false,true,false
131882,It's Match Time,Matchのお誘い！,It's Match Time,,It's Match Time,Matchのお誘い！,,,It's Match Time,Matchのお誘い！,1,true,false,false,true,false
131887,Match Master,Matchマスター,Match Master,,Match Master,Matchマスター,,,Match Master,Matchマスター,500,true,false,false,true,false
131888,Matchtacular!,盛大なMatch！,Matchtacular!,,Matchtacular!,盛大なMatch！,,,Matchtacular!,盛大なMatch！,1000,true,false,false,true,false
131894,Match Maniac,Matchマニアック,Match Maniac,,Match Maniac,Matchマニアック,,,Match Maniac,Matchマニアック,2999,true,false,false,true,false
133119,Music on Stage,Music on Stage,Music on Stage,,Music on Stage,Music on Stage,,,Music on Stage,Music on Stage,1,false,false,false,true,false
133120,Take the Mic,マイクを握ろう,Take the Mic,,Take the Mic,マイクを握ろう,,,Take the Mic,マイクを握ろう,199,true,false,false,true,false
133121,Rosie on Stage,ステージのロージー,Rosie on Stage,,Rosie on Stage,ステージのロージー,,,Rosie on Stage,ステージのロージー,2999,true,false,false,true,false
133123,My Dream Stage,夢のステージ,My Dream Stage,,My Dream Stage,夢のステージ,,,My Dream Stage,夢のステージ,5999,true,false,false,true,false
133359,DJ Set,DJセット,DJ Set,,DJ Set,DJセット,,,DJ Set,DJセット,399,true,false,false,true,false
133360,Pink Cowboy,ピンクカウボーイ,Pink Cowboy,,Pink Cowboy,ピンクカウボーイ,,,Pink Cowboy,ピンクカウボーイ,450,true,false,false,true,false
134381,,,Diamond Gun,,,,,,,,5000,false,false,false,false,true
134396,,,Zeus,,,,,,,,34000,false,false,false,false,true
139582,Cheering Towel,応援タオル,Cheering Towel,,Cheering Towel,応援タオル,,,Cheering Towel,応援タオル,299,true,false,false,true,false
139584,Drum Pop,ドラムポップ,Drum Pop,,Drum Pop,ドラムポップ,,,Drum Pop,ドラムポップ,500,true,false,false,true,false
139586,Celebration Tape,お祝いテープ,Celebration Tape,,Celebration Tape,お祝いテープ,,,Celebration Tape,お祝いテープ,2800,true,false,false,true,false
153750,Club Cheers,応援クラブ,Club Cheers,,Club Cheers,応援クラブ,,,Club Cheers,応援クラブ,1,true,false,false,true,false
153751,Club Power,団結クラブ,Club Power,,Club Power,団結クラブ,,,Club Power,団結クラブ,9,true,false,false,true,false
153753,Club Victory,クラブ勝利,Club Victory,,Club Victory,クラブ勝利,,,Club Victory,クラブ勝利,99,true,false,false,true,false
166576,Sakura-style DJ,桜スタイルDJ,Sakura-style DJ,,Sakura-style DJ,桜スタイルDJ,,,Sakura-style DJ,桜スタイルDJ,600,true,false,false,true,false
166578,Singing Frog,歌うカエル,Singing Frog,,Singing Frog,歌うカエル,,,Singing Frog,歌うカエル,249,true,false,false,true,false
166579,Rock and Roll,ロックンロール,Rock and Roll,,Rock and Roll,ロックンロール,,,Rock and Roll,ロックンロール,449,true,false,false,true,false
166581,Sound Spell,呪文のサウンド,Sound Spell,,Sound Spell,呪文のサウンド,,,Sound Spell,呪文のサウンド,500,true,false,false,true,false
166583,Electro Vibes,エレクトロバイブス,Electro Vibes,,Electro Vibes,エレクトロバイブス,,,Electro Vibes,エレクトロバイブス,349,true,false,false,true,false
170193,Semsemia,セミア,Semsemia,,Semsemia,セミア,,,Semsemia,セミア,200,true,false,false,true,false
170277,Baglama,バグラマ,Baglama,,Baglama,バグラマ,,,Baglama,バグラマ,200,true,false,false,true,false
170498,Bloom Brass,フラワーブラス,Bloom Brass,,Bloom Brass,フラワーブラス,,,Bloom Brass,フラワーブラス,199,true,false,false,true,false
170501,Magic Accordion,マジックアコーディオン,Magic Accordion,,Magic Accordion,マジックアコーディオン,,,Magic Accordion,マジックアコーディオン,400,true,false,false,true,false
170503,Beat Wings,ビートウィング,Beat Wings,,Beat Wings,ビートウィング,,,Beat Wings,ビートウィング,399,true,false,false,true,false
170504,Melody Headset,メロディヘッドセット,Melody Headset,,Melody Headset,メロディヘッドセット,,,Melody Headset,メロディヘッドセット,399,true,false,false,true,false
170505,Retro Headset,レトロヘッドセット,Retro Headset,,Retro Headset,レトロヘッドセット,,,Retro Headset,レトロヘッドセット,349,true,false,false,true,false
170506,Singing Mushroom,歌うキノコ,Singing Mushroom,,Singing Mushroom,歌うキノコ,,,Singing Mushroom,歌うキノコ,99,true,false,false,true,false
170507,Bloom Melody,フラワーメロディ,Bloom Melody,,Bloom Melody,フラワーメロディ,,,Bloom Melody,フラワーメロディ,99,true,false,false,true,false
170508,Rhythm Bot,リズムボット,Rhythm Bot,,Rhythm Bot,リズムボット,,,Rhythm Bot,リズムボット,199,true,false,false,true,false
191116,Super Dad,スーパーパパ,Super Dad,,Super Dad,スーパーパパ,,,Super Dad,スーパーパパ,400,true,false,false,true,false
191117,Office Penguin,オフィスペンギン,Office Penguin,,Office Penguin,オフィスペンギン,,,Office Penguin,オフィスペンギン,450,true,false,false,true,false
191123,Papa Capybara,パパカピバラ,Papa Capybara,,Papa Capybara,パパカピバラ,,,Papa Capybara,パパカピバラ,399,true,false,false,true,false
223562,Penlight,ペンライト,Penlight,,Penlight,ペンライト,,,Penlight,ペンライト,1599,true,false,false,true,false
